"HI_number","Correction_note","Format","Source_Tape_Generation","Mastering Offset Timecode","Run_Time","Series_Title","Meeting_Information","Title","Alternate_Titles","Date_of_Production","Location_Venue","Language","Main_Production_Credits","Additional_Production_Credits","Participants","Performers","Worktypes","Performance_Genres","Summary","Subjects","Rights_Holder","Broadcast_Note","Note_to_Cataloger"
"HI2018.071_01","Updated: Subjects","Media source original: 1 videocassette (Mini DV) ; dimensions: 1/4 in. SP","original recording",,"0:04:53;00","Billionaires for Bush Collection",,"Supreme Court: Why Rent When You Can Own?","Billionaires for Bush Big Business Minute, INN News",,"New York City, New York, USA","English","Billionaires for Bush, producer ; I.N.N., producer ; Marco Ceglie, writer ; Melody Bates, writer.","Roland Marconi, editor.",,"Melody Bates, Marco Ceglie, Brian Fairbanks, Shilpa Narayan, Mark Silverman, Dave Bennett, performer.","Performance","Satire|News segment","[SUMMARY]Monet Oliver DePlace reports from Capitol Hill to sing the praisesof John Roberts Jr., President Bush's new business-friendly Supreme Courtnominee. He also doubles down on his claim that Vice President Dick Cheneyhad nothing to do with the Valerie Plame leak. [BIO]Billionaires for Bushis a grassroots network of corporate lobbyists, decadent heiresses,Halliburton CEOs, and other winners under George W. Bush's economicpolicies. Headquartered on Wall Street, and with over 60 chaptersnationwide, Billionaires for Bush worked tirelessly to ensure the successof Bush-era policies that put profits over people. billionairesforbush.com","United States|Bush, George W. (George Walker), 1946-|Supreme Court justices|Lobbyists--United States|Mining|Logging","Andrew Boyd",,
"HI2018.072_01","Updated: Summary; Subjects","Media source original: 1 videocassette (Mini DV) ; dimensions: 1/4 in. SP","original recording",,"0:05:08;00","Billionaires for Bush Collection",,"The Energy Bill: To the Texans Go the Spoils","Billionaires for Bush Big Business Minute, INN News","2005 Aug. 5.","New York City, New York, USA","English","Billionaires for Bush, producer ; I.N.N., producer ; Marco Ceglie, writer ; Melody Bates, writer.","Roland Marconi, editor.",,"Melody Bates, Marco Ceglie, Brian Fairbanks, Shilpa Narayan, Mark Silverman, Dave Bennett, performer.","Performance","Satire|News segment","[SUMMARY]Monet Oliver DePlace returns home to the anchor desk, as Ivy League-Legacy reports live from the Gulf of Mexico, where Big Oil and the Bush Administration are partying hard on an offshore rig thanks to the new Energy Bill. Luckily, there wont be much mess to clean since insurance covers any spills, taxpayers foot the bills, and consumers still pay record prices at the pump! All aboard the golden pipeline from Washington D.C. to Texas! [BIO]Billionaires for Bush is a grassroots network of corporate lobbyists, decadent heiresses, Halliburton CEOs, and other winners under George W. Bush's economic policies. Headquartered on Wall Street, and with over 60 chapters nationwide, Billionaires for Bush worked tirelessly to ensure the success of Bush-era policies that put profits overpeople. billionairesforbush.com","United States|Bush, George W. (George Walker), 1946-|Energy consumption--law and legislation|Oil industries--government policies--United States|Tax legislation|Gulf Coast","Andrew Boyd",,
"HI2018.073_01","Updated: Subjects","Media source original: 1 videocassette (Mini DV) ; dimensions: 1/4 in. SP","original recording",,"0:05:43;00","Billionaires for Bush Collection",,"Billionaires for Bush's War","Billionaires for Bush Big Business Minute, INN News","2005 Sept. 23.","New York City, New York, USA","English","Billionaires for Bush, producer ; I.N.N., producer ; Marco Ceglie, writer ; Melody Bates, writer.","Roland Marconi, editor.",,"Melody Bates, Marco Ceglie, Brian Fairbanks, Shilpa Narayan, Mark Silverman, Dave Bennett, performer.","Performance","Satire|News segment","[SUMMARY]Monet Oliver DePlace anchors as Senior Protest Scholar IvyLeague-Legacy reports live from Washington D.C., where Billionaires ForBush plan a brave counter-protest against the massive anti-wardemonstrations planned for the weekend. [BIO]Billionaires for Bush is agrassroots network of corporate lobbyists, decadent heiresses, HalliburtonCEOs, and other winners under George W. Bush's economic policies.Headquartered on Wall Street, and with over 60 chapters nationwide,Billionaires for Bush worked tirelessly to ensure the success of Bush-erapolicies that put profits over people. billionairesforbush.com","United States|Bush, George W. (George Walker), 1946-|Anti war demonstrations|Iraq War 2003-2011|Excessive force used by police|Arrest (police methods)","Andrew Boyd",,
"HI2018.074_01","Updated: Run time; Date of production; Production Credits; Additional Production Credits; Performers; Summary; Performance Genre; Subjects","Media source original: 1 videodisc (DVD) ; dimensions: 4 3/4 in. (OUTSOURCE CONVERSION)","copy of original recording",,"0:29:15;00","Billionaires for Bush Collection",,"Our Vision Our Future!",,,,"English","Billionaires for Bush, creator. Mark Voelpel, director; Mark Voelpel, producer; Mark Voelpel, David Warth, Matt Johnson, writer.","Sarah Cameron Sunde, Maria Dizzia, associate producer; Courtney Logan, costume designer; Ben Posnack, Brooke Montgomery, sound recording.",,"Billy Merritt, Jennifer Fairmont, Mort Milder, Terry Caza, Jack Marks, Walter Tyszka, Garry Goodrow, Brian Huskey, Carter Roy, Christopher Graham, Zeroboy, performer.","Performance","Satire","[SUMMARY]The performance Our Vision Our Future is an effort by Billionaires for Bush to ""promote American leadership that builds billionaire equity."" In this satirical talk show program, co-hosts Jennifer Fairmont and Forrest Winnower III entertain a series of billionaire special guests who tell it like it is. This raison d'etre gives you the facts the liberal left wing media won't. War? That's money in the bank. Terrorism? Not a problem. Taxes? Meant for the poor. If you need help navigating the difficult challenges of a life with more than one thousand million dollars, you'll definitely want to heed this call to build a richer future. [BIO]Billionaires for Bush is a grassroots network of corporate lobbyists, decadent heiresses, Halliburton CEOs, and other winners under George W. Bush's economic policies. Headquartered on Wall Street, and with over 60 chapters nationwide, Billionaires for Bush worked tirelessly to ensure the success of Bush-era policies that put profits over people. billionairesforbush.com","Bush, George W. (George Walker), 1946-|War profiteering|Workers' compensation|Terrorism|Tax Legislation","Andrew Boyd",,
"HI2018.075_01","Updated: Run time; Date of production; Main Production Credits; Additional Credits; Performers; Summary and Bio; Subjects","Media source original: 1 videodisc (DVD) ; dimensions: 4 3/4 in. (OUTSOURCE CONVERSION)","copy of original recording",,"0:13:46;00","Billionaires for Bush Collection",,"Billionaires for Bush Compilation: TV Spots, Music Videos, Action Footage","Just Like Us; Billionares are in the House; Billionaires Love Karl Rove; Billionaires vs. Bioneers",,,"English","Billionaires for Bush, creator. Felonius Ax, executive producer. G Money (Cathy Gesualdo), Kent Nichols, producer. Cecil B. d'Million (Miles Sonenbaum), director.","Felonius Ax (Clifford J. Tasner), 50 Billion (Wil B), songwriter; Ho' Lotta Bling (Marion Ramsey), Warren Proffet (Ross Wright), Felonious Ax, vocalist; Warren Proffet (Ross Wright), recording; Georgie O'Marauder (Paul Berolzheimer), sound mixer.",,"Wil B, Guensie Gracy, Shamya Hawque, Kerry Hower, Scott Purcell, Ka'amilya Ali, Christian L. Scott, Nichelle Mounue, performer.","Performance","Satire","[SUMMARY]Billionaires for Bush share some of their best satire in this compilation, which includes:- Political tv commercials! As US casualties and war debts pile up from the Iraq War, it's always great to remember why we're fighting. Here's a hint: it's not freedom, Uncle Sam... it's that black gold that warms our hearts! Stay tuned!- Hip-Hop videos! MC 50 Mil spits hot bars and gives us a sneak peak at the young black Billionaire lifestyle. Keep it real in this cringeworthy imitation of ealy 2000's rap videos, complete with gaudy mansion, flashy rental cars, and scantilty clad women! Because sometimes even a landed billionaire wants to party like the nouveau rich!- Street interventions with trained imposters! The Billionaires show up in New York City to intercept Karl Rove on his way to meet George W. Bush's Maverick fundraisers. With environmentalists already on hand protesting the administration's response to the September 11th attacks, it's a good old-fashioned protest party!- Environmentalist Party Crashing! Phil T Rich and Monet Oliver De Place crash the stage at a Bioneer's conference, dropping the cold hard facts to a captive audience of eco-apologists. Ever the orators, the silver-tongued Billionaires defend the Bush Administrations's healthy forest initiatives (such as logging) and extol the hidden virtues of global warming (great tans!) to the cackles and heckles of their political and ideological opposites. [BIO]Billionaires for Bush is a grassroots network of corporate lobbyists, decadent heiresses, Halliburton CEOs, and other winners under George W. Bush's economic policies. Headquartered on Wall Street, and with over 60 chapters nationwide, Billionaires for Bush worked tirelessly to ensure the success of Bush-era policies that put profits over people. billionairesforbush.com","Iraq War 2003-2011|Public demonstrations|Economic reform|Bush, George W. (George Walker), 1946-|Climate change|Consumption (Economics)--United States--Social aspects","Andrew Boyd",,
"HI2018.076_01","Updated: Date of Production; Additional Production Credits; Participants; Performers; Summary and Bio; Subjects","Media source original: 1 videodisc (DVD) ; dimensions: 4 3/4 in. (OUTSOURCE CONVERSION)","original recording",,"0:11:08;00","Billionaires for Bush Collection",,"Billionaires Sell the Bell",,"26, Sept. 2004.","Philadelphia. Pennsylvania, USA","English","Billionaires for Bush, creator.","Sean Stoops, videographer; Anita Schillhorn, Van Veen, editor.","Tina Migeot, commentary.","Billionaires for Bush-Philadelphia Chapter, performer.","Performance","Satire","[SUMMARY] Corporations, start your bidding! The Billionaires for Bush hit the streets in Philadelphia to auction off the Liberty Bell and pay for trillions of dollars in U.S. tax cuts. Through a varied extravaganza of speeches, chants, and song and dance, the noble descendants of our founding fathers re-declare their dependence on foreign labor, foreign oil and foreign wars. [BIO]Billionaires for Bush is a grassroots network of corporate lobbyists, decadent heiresses, Halliburton CEOs, and other winners under George W. Bush's economic policies. Headquartered on Wall Street, and with over 60 chapters nationwide, Billionaires for Bush worked tirelessly to ensure the success of Bush-era policies that put profits over people. billionairesforbush.com","Public demonstrations|Economic reform|Bush, George W. (George Walker), 1946-|Oil industries -- government policies -- United States|Tax legislation","Andrew Boyd",,
"HI2018.077_01","Updated summary.","Media source original: 1 videocassette (VHS) ; dimensions: 1/2 in. SP","original recording",,"0:25:20;00","Bread and Puppet Theater",,"Our Domestic Resurrection Circus: Nicaragua and Bach",,"1985 July.","Bread and Puppet Theater farm, Glover, Vermont, USA","English","Peter Schumann, director ; Marc Estrin, musical director ; Marc Estrin, conductor.",,,"Marc Estrin, Malcolm Goldstein, Elka Schumann, Deborah Stolleroff, Bert Franke, Pat Mayhew, Nick Page, Trudi Cohen, performer ; Steven Light, Ralph Denzer, Alvin Schulman, Hans Estrin, Catherin Schaub, Pati Hernández, Peter Hamburger, performer ; Linda Elbow, David Thorne, community chorus members, volunteers, performer.","Performance","Puppet theater|Community theater|choral performance","[SUMMARY] In this footage from the 1985 Domestic Resurrection Circus, subtitled ""Nicaragua and Bach,"" Bread and Puppet fused Western canonical music and theatrical styling with their signature puppetry and masks to address the Iran-Contra Affair and U.S.involvement in Nicaragua. The circus's format is a parodic nod to side-showcarnival acts and ""circus freaks"" that, like much of their repertoire,questions and disrupts what is commonly conceived of as ""natural"" and""realistic."" The name for the circus suggests understanding theater assynonymous with the domestic and the every day, particularly as a means ofcounteracting political apathy and commercialism.Perhaps the most recognized fixture of Bread and Puppet Theater's seasonal programming, Our Domestic Resurrection Circus was an annual gathering on the theater's farm near Glover, Vermont from 1970-1997. [BIO]The Bread and Puppet Theater was founded in 1963 by Peter Schumann on New York City’s Lower East Side. The theater’s puppet shows range from tightly composed theaterpieces presented by members of the company to extensive outdoor pageantswhich require the participation of many community volunteers. Performancesoccur in diverse venues, from international theater festivals to urbancommunity centers to rural elementary schools. Bread and Puppet’s impacton the greater world of experimental theater is acknowledged by scholars,and evidenced by the hundreds of unique theater companies now in existencethat cite Bread and Puppet as an influence. One of the most enduringlegacies of Bread and Puppet is its autonomy, receiving no directgovernment funding, but instead relying on its own practice of frugalityand a huge amount of volunteerism, along with the merged incomes ofperformance fees, and sales of Bread and Puppet Press’ posters andpublications, as well as donations to pay its own way. Bread & Puppet haswon numerous awards, including the Obie Award, the Erasmus Award fromAmsterdam, the Vermont Governor’s Award for Excellence in the Arts, thePuppeteers of America Award, a Guggenheim Fellowship and numerous ribbonsin local Vermont parades in Hardwick and Barton. breadandpuppet.org","Bread and Puppet Theater|Circus|Carnival|Iran-Contra Affair, 1985-1990|Nicaragua--Foreign relations--United States|Liberation theology","Elka Schumann",,
"HI2018.078_01","N/A","Media source original: 1 videocassette (VHS) ; dimensions: 1/2 in. SP","original recording",,"01:02:25;00","Bread and Puppet Theater",,"Bread and Puppet Theater: Daily News Nativity",,"1985 Dec..","Judson Church, New York City, New York, USA","English","Peter Schulmann, director.",,,"Peter Schulmann, John Bell, Joanne Schultz, Ron Kelly, Quang Yu, Michael Romanyshyn, Steve Kaplan, many volunteers, performer.","Performance","Puppet theater|Dance-theater","[SUMMARY]Daily News Nativity (1985) is a secular retelling of the birth ofJesus Christ. The script juxtaposes quotes and events detailed in the dailynews with stories and quotes from the New Testament in the Christian Bible.The present-day evils of homelessness, displacement, and war resonateacross time and beliefs as parallels are drawn between Mary and Josephfleeing the wrath of King Herrod and their subsequent search for shelter.[BIO]The Bread and Puppet Theater was founded in 1963 by Peter Schumann onNew York City’s Lower East Side. The theater’s puppet shows range fromtightly composed theater pieces presented by members of the company toextensive outdoor pageants which require the participation of manycommunity volunteers. Performances occur in diverse venues, frominternational theater festivals to urban community centers to ruralelementary schools. Bread and Puppet’s impact on the greater world ofexperimental theater is acknowledged by scholars, and evidenced by thehundreds of unique theater companies now in existence that cite Bread andPuppet as an influence. One of the most enduring legacies of Bread andPuppet is its autonomy, receiving no direct government funding, but insteadrelying on its own practice of frugality and a huge amount of volunteerism,along with the merged incomes of performance fees, and sales of Bread andPuppet Press’ posters and publications, as well as donations to pay itsown way. Bread & Puppet has won numerous awards, including the Obie Award,the Erasmus Award from Amsterdam, the Vermont Governor’s Award forExcellence in the Arts, the Puppeteers of America Award, a GuggenheimFellowship and numerous ribbons in local Vermont parades in Hardwick andBarton. breadandpuppet.org","Bread and Puppet Theater|Nativity of Christ|Herod the Great, 73 B.C.-4 B.C.|Massacre of the Holy Innocents|State-sponsored violence|Homelessness|Displacement|Shelter|Daily news","Elka Schumann",,
"HI2018.079_01","Updated summary.","Media source original: 1 videocassette (VHS) ; dimensions: 1/2 in. SP","original recording",,"0:53:57;00","Bread and Puppet Theater",,"Columbus: The New World Order",,"1992 May 23.","Burlington, Vermont, USA","English",,,"Michael Romanyshyn, interviewee.","Emily Anderson, Clare Dolan, Cathy Vigo, Pedro Adorno, Michael Romanyshyn, Burlington Vermont volunteers, performer.","Performance|Documentary|Interview","Puppet theater","[SUMMARY]In this retrospective of the traveling show Columbus The New WorldOrder (1992), members of Bread and Puppet Theater reflect on the experience of staging the show exactly 500 years after Columbus' first voyage to the so-called New World.Cast members also reflect on the show's critiques of colonization and imperialism that wereboth of the moment and timeless. Bread and Puppet disrupts sanitizedversions of Columbus' celebrated history to honor those subjugated andkilled as part of Columbus' conquest. Columbus' story isjuxtaposed with detailed descriptions of weapons used in the Gulf War aswell as death rituals for Iraqi women killed during the conflict. [BIO] TheBread and Puppet Theater was founded in 1963 by Peter Schumann on New YorkCity’s Lower East Side. The theater’s puppet shows range from tightlycomposed theater pieces presented by members of the company to extensiveoutdoor pageants which require the participation of many communityvolunteers. Performances occur in diverse venues, from internationaltheater festivals to urban community centers to rural elementary schools.Bread and Puppet’s impact on the greater world of experimental theater isacknowledged by scholars, and evidenced by the hundreds of unique theatercompanies now in existence that cite Bread and Puppet as an influence. Oneof the most enduring legacies of Bread and Puppet is its autonomy,receiving no direct government funding, but instead relying on its ownpractice of frugality and a huge amount of volunteerism, along with themerged incomes of performance fees, and sales of Bread and Puppet Press’posters and publications, as well as donations to pay its own way. Bread &Puppet has won numerous awards, including the Obie Award, the Erasmus Awardfrom Amsterdam, the Vermont Governor’s Award for Excellence in the Arts,the Puppeteers of America Award, a Guggenheim Fellowship and numerousribbons in local Vermont parades in Hardwick and Barton. breadandpuppet.org","Bread and Puppet Theater|Columbus, Christopher|Colonialism|Colonization--Moral and ethical aspects|Cultural recovery|Historical erasure|Violence--Americas","Elka Schumann",,"Please create LOC subject headings for: Culture Recovery, Historical Erasure."
"HI2018.080_01","Updated summary.","Media source original: 1 videocassette (VHS) ; dimensions: 1/2 in. SP","original recording",,"01:25:04;00","Bread and Puppet Theater",,"The Door",,1985,"Chicago, Illinois, USA","English","Peter Schumann, director.",,,"Cate Peck, Mike Romanyshyn, Peter Hamburger, Linda Elbow, Dave Thorne, Trudi Cohen, Barney Carlson, performer.","Performance","Puppet theater","[SUMMARY] The Door (1985) is a haunting play that explores the horrorsGuatemalan refugees experience on the journey north. The story unfolds witha choreographed mix of actors, larger-than-life puppets, cardboard figures,and masks depicting indigenous Guatemalans and the countless figures aimingto harm and exploit them. Also seen are the extreme dangers faced inmigration and a brutal masacre. In one of the play's few spoken moments, adisembodied voice reveals the U.S.'s role in this violence, noting thecountry has shipped arms to Guatemala and has trained counter-insurgents sincethe 1950s. The silence from the United States is symbolically linked to theevil forces who loom behind the titular door, who remain largely silent andobscured as they enact their violence. [BIO] The Bread and Puppet Theaterwas founded in 1963 by Peter Schumann on New York City’s Lower East Side.The theater’s puppet shows range from tightly composed theater piecespresented by members of the company to extensive outdoor pageants whichrequire the participation of many community volunteers. Performances occurin diverse venues, from international theater festivals to urban communitycenters to rural elementary schools. Bread and Puppet’s impact on thegreater world of experimental theater is acknowledged by scholars, andevidenced by the hundreds of unique theater companies now in existence thatcite Bread and Puppet as an influence. One of the most enduring legacies ofBread and Puppet is its autonomy, receiving no direct government funding,but instead relying on its own practice of frugality and a huge amount ofvolunteerism, along with the merged incomes of performance fees, and salesof Bread and Puppet Press’ posters and publications, as well as donationsto pay its own way. Bread & Puppet has won numerous awards, including theObie Award, the Erasmus Award from Amsterdam, the Vermont Governor’sAward for Excellence in the Arts, the Puppeteers of America Award, aGuggenheim Fellowship and numerous ribbons in local Vermont parades inHardwick and Barton. breadandpuppet.org","Bread and Puppet Theater|Civil War (Guatemala: 1960-1996)|United States--Foreign relations--Guatemala|Migration and Refugees|Violence--Guatemala","Elka Schumann",,
"HI2018.081_01","Updated summary.","Media source original: 1 videocassette (VHS) ; dimensions: 1/2 in. SP","original recording",,"01:01:00;00","Bread and Puppet Theater",,"The Bread and Puppet 1985 Traveling Circus",,1985,"Chicago, Illinois, USA","English","Peter Schumann, director.",,,"Cate Peck, Mike Romanyshyn, Peter Hamburger, Linda Elbow, Dave Thorne, Trudi Cohen, Barney Carlson, performer.","Performance","Puppet theater|Circus|Outdoor performance","[SUMMARY]The Bread and Puppet 1985 Traveling Circus is an outdoorperformance featuring the theater's signature puppets and masks. The showintersperses recognizable circus gags and slapstick comedic acts with atimeline detailing historic and present day political crises in Nicaragua,and critiquing U.S. involvement. During the 1980s, Bread and Puppet Theater focusedheavily on the atrocities occuring in Central America—the GuatemalanCivil War and the Iran-Contra Affair, among others—to critique thecorporate and political corruption at the root of these horrors, bothwithin the region and in the United States. [BIO]The Bread and Puppet Theaterwas founded in 1963 by Peter Schumann on New York City’s Lower East Side.The theater’s puppet shows range from tightly composed theater piecespresented by members of the company to extensive outdoor pageants whichrequire the participation of many community volunteers. Performances occurin diverse venues, from international theater festivals to urban communitycenters to rural elementary schools. Bread and Puppet’s impact on thegreater world of experimental theater is acknowledged by scholars, andevidenced by the hundreds of unique theater companies now in existence thatcite Bread and Puppet as an influence. One of the most enduring legacies ofBread and Puppet is its autonomy, receiving no direct government funding,but instead relying on its own practice of frugality and a huge amount ofvolunteerism, along with the merged incomes of performance fees, and salesof Bread and Puppet Press’ posters and publications, as well as donationsto pay its own way. Bread & Puppet has won numerous awards, including theObie Award, the Erasmus Award from Amsterdam, the Vermont Governor’sAward for Excellence in the Arts, the Puppeteers of America Award, aGuggenheim Fellowship and numerous ribbons in local Vermont parades inHardwick and Barton. breadandpuppet.org","Bread and Puppet Theater|Circus theater|Iran-Contra Affair, 1985-1990|Nicaragua--Social conditions--20th century|Nicaragua--Foreign relations--United States--Chronology","Elka Schumann",,
"HI2018.082_01","Updated summary.","Media source original: 1 videocassette (VHS) ; dimensions: 1/2 in. SP","original recording",,"01:10:01;00","Bread and Puppet Theater",,"The Hunger of the Hungry and the Hunger of the Overfed",,"1986 Sept. 12.","Massachusetts College of Art, Boston, Massachusetts, USA","English, Spanish","Peter Schumann, director.",,,"Clare Dolan, Michael Romanyshyn, John Bell, Genevieve Yeuilliez, Linda Elbow, Pati Hernández, Cate Kelly, Alan Hark, performer.","Performance","Puppet theater","[SUMMARY] The Hunger of the Hungry and the Hunger of the Overfed (1986)explores the consumerism and greed at the core of preventable hunger andfood scarcity around the world. Throughout the play actionstake place in various global sites, revealing how the need for food maymanifest differently, but it is universal. In exploring both underfed andoverfed populations, the Bread and Puppet Theater situates hunger as amoral dilemma: as the deprivation that ravages the body and spirit, and theinsatiable appetites leading some to hoard far more resources than theyneed. The Hunger of the Hungry and the Hunger of the Overfed strikinglyarticulates the ruinous effects of this imbalance. [BIO]The Bread andPuppet Theater was founded in 1963 by Peter Schumann on New York City’sLower East Side. The theater’s puppet shows range from tightly composedtheater pieces presented by members of the company to extensive outdoorpageants which require the participation of many community volunteers.Performances occur in diverse venues, from international theater festivalsto urban community centers to rural elementary schools. Bread andPuppet’s impact on the greater world of experimental theater isacknowledged by scholars, and evidenced by the hundreds of unique theatercompanies now in existence that cite Bread and Puppet as an influence. Oneof the most enduring legacies of Bread and Puppet is its autonomy,receiving no direct government funding, but instead relying on its ownpractice of frugality and a huge amount of volunteerism, along with themerged incomes of performance fees, and sales of Bread and Puppet Press’posters and publications, as well as donations to pay its own way. Bread &Puppet has won numerous awards, including the Obie Award, the Erasmus Awardfrom Amsterdam, the Vermont Governor’s Award for Excellence in the Arts,the Puppeteers of America Award, a Guggenheim Fellowship and numerousribbons in local Vermont parades in Hardwick and Barton. breadandpuppet.org","Bread and Puppet Theater|Hunger--Economic aspects|Hunger--Political aspects|Consumerism|Consumption (Economics)--Moral and ethical aspects","Elka Schumann",,
"HI2018.083_01","N/A","Media source original: 1 videocassette (VHS) ; dimensions: 1/2 in. SP","original recording",,"01:16:18;00","Bread and Puppet Theater",,"Icarus","St. Ann's Church","1988 Dec. 1.","St. Ann's Church, Brooklyn, New York, USA","English","Peter Schumann, director.",,,"Peter Schumann, Susie Dennison, Emily Anderson, Dale Wittig, Nabila Schwab, Burt Franke, Pati Hernández, performer ; Jody Moore, Meredith Holch, performer.","Performance","Puppet theater|Dance-theater","[SUMMARY] Bread and Puppet Theater's Icarus (1988) takes its inspirationfrom the painting Landscape with the Fall of Icarus by Pieter Bruegel. Inthis iteration, Icarus's tale is less a hubristic attempt at defyinggravity and more a cautionary warning about what is enacted and sacrificedin the name of freedom. The setting is a small town near Colorado Springs,Colorado, home to the North American Air Defense Command. There, thepopulation's sole focus is on self-protection and the preservation of theNorth American continent in an aerospace battle they are certain is fastapproaching. While Icarus does achieve flight, he inevitably falls, inspite of the society's preparedness and their isolating, singular focus onself-preservation. His death sets off a domino effect of invasion anddestruction, leaving comrades and enemies fleeing what's left of theburning continent, all in the same boat. [BIO] The Bread and Puppet Theaterwas founded in 1963 by Peter Schumann on New York City’s Lower East Side.The theater’s puppet shows range from tightly composed theater piecespresented by members of the company to extensive outdoor pageants whichrequire the participation of many community volunteers. Performances occurin diverse venues, from international theater festivals to urban communitycenters to rural elementary schools. Bread and Puppet’s impact on thegreater world of experimental theater is acknowledged by scholars, andevidenced by the hundreds of unique theater companies now in existence thatcite Bread and Puppet as an influence. One of the most enduring legacies ofBread and Puppet is its autonomy, receiving no direct government funding,but instead relying on its own practice of frugality and a huge amount ofvolunteerism, along with the merged incomes of performance fees, and salesof Bread and Puppet Press’ posters and publications, as well as donationsto pay its own way. Bread & Puppet has won numerous awards, including theObie Award, the Erasmus Award from Amsterdam, the Vermont Governor’sAward for Excellence in the Arts, the Puppeteers of America Award, aGuggenheim Fellowship and numerous ribbons in local Vermont parades inHardwick and Barton. breadandpuppet.org","Bread and Puppet Theater|Icarus (Greek mythological character)|Anxiety--Political aspects|Paranoia--Political aspects|Self-destructiveness","Elka Schumann",,
"HI2018.084_01","N/A",,"original recording",,"0:13:05;00","Bread and Puppet Theater",,"Icarus St. Ann's Housing March",,"1988 Dec. 18.","St. Ann's Church, Brooklyn, New York, USA","English","Peter Schumann, director.",,,"Peter Schumann, Meredith Holch, Bert Franke, Pati Hernández, Nabila Schwab, performer ; Jody Moore, Dale Wittig, Emily Anderson, performer.","Performance|Protest","Puppet theater|Parade|March","[SUMMARY] Bread and Puppet Theater participated in a protest for housingrights on December 18, 1988. The march featured musical tributes, speeches,and appearances by noted activists such as Rev. Jesse Jackson. Using propsfrom their Icarus performance, Bread and Puppet members were gathered in alarge, symbolic ship whose sides read ""We're all in the same boat.""[BIO]The Bread and Puppet Theater was founded in 1963 by Peter Schumann onNew York City’s Lower East Side. The theater’s puppet shows range fromtightly composed theater pieces presented by members of the company toextensive outdoor pageants which require the participation of manycommunity volunteers. Performances occur in diverse venues, frominternational theater festivals to urban community centers to ruralelementary schools. Bread and Puppet’s impact on the greater world ofexperimental theater is acknowledged by scholars, and evidenced by thehundreds of unique theater companies now in existence that cite Bread andPuppet as an influence. One of the most enduring legacies of Bread andPuppet is its autonomy, receiving no direct government funding, but insteadrelying on its own practice of frugality and a huge amount of volunteerism,along with the merged incomes of performance fees, and sales of Bread andPuppet Press’ posters and publications, as well as donations to pay itsown way. Bread & Puppet has won numerous awards, including the Obie Award,the Erasmus Award from Amsterdam, the Vermont Governor’s Award forExcellence in the Arts, the Puppeteers of America Award, a GuggenheimFellowship and numerous ribbons in local Vermont parades in Hardwick andBarton. breadandpuppet.org","Bread and Puppet Theater|Icarus (Greek mythological character)|Housing--New York City|Housing, right to|Community activists--New York (State)--New York--History--20th century","Elka Schumann",,
"HI2018.085_01","Updated summary and performance genres.","Media source original: 1 videocassette (VHS) ; dimensions: 1/2 in. SP","original recording",,"01:17:50;00","Bread and Puppet Theater",,"Washerwoman Nativity",,"1983 Dec..","Judson Church, New York City, New York, USA","English","Peter Schumann, director.",,,"Trudi Cohen, John Bell, Marc Estrin, Barbara Leber, Peter Schumann, Cate Peck, Peter Hamburger, performer ; Linda Elbow, Joanne Schultz, Howie Cantor, Jodi Moore, Ralph Denzer, Ron Kelly, Pati Hernández, Richard Norcross, performer.","Performance","Theater|Puppet Show","[SUMMARY] Bread and Puppet's Washerwoman Nativity (1983) is a retelling ofthe classic Christian nativity story through the lens of the archetypalwasherwoman. Featured throughout Bread and Puppet productions, washerwomensymbolize the strength of women, especially those within the workingclass. In this version of a familiar story, these women are centralcharacters in the birth of Jesus—as part of an overlooked population thathelps the community run effectively, and as targets of King Herrod'sterroristic response to the threat of lost power.The company's communal focus and their celebrations of the everyday areexemplified in the production: the cast is comprised of both companymembers and people from the local community, and the play centers womenwhose daily, important work is so integral to their communities and whoselabor is so often invisibilized. [BIO] The Bread and Puppet Theater wasfounded in 1963 by Peter Schumann on New York City’s Lower East Side. Thetheater’s puppet shows range from tightly composed theater piecespresented by members of the company to extensive outdoor pageants whichrequire the participation of many community volunteers. Performances occurin diverse venues, from international theater festivals to urban communitycenters to rural elementary schools. Bread and Puppet’s impact on thegreater world of experimental theater is acknowledged by scholars, andevidenced by the hundreds of unique theater companies now in existence thatcite Bread and Puppet as an influence. One of the most enduring legacies ofBread and Puppet is its autonomy, receiving no direct government funding,but instead relying on its own practice of frugality and a huge amount ofvolunteerism, along with the merged incomes of performance fees, and salesof Bread and Puppet Press’ posters and publications, as well as donationsto pay its own way. Bread & Puppet has won numerous awards, including theObie Award, the Erasmus Award from Amsterdam, the Vermont Governor’sAward for Excellence in the Arts, the Puppeteers of America Award, aGuggenheim Fellowship and numerous ribbons in local Vermont parades inHardwick and Barton. breadandpuppet.org","Bread and Puppet Theater|Nativity of Christ|Washerwomen|Community power|Herod the Great, 73 B.C.-4 B.C.|Community empowerment","Elka Schumann",,
