"Subject","Subject-with-subfields","MARC field","Subject source","Metadata"
" Arts and religion.","$aArts and religion.",650,"Library of Congress Subject Headings",
" Arts, Mexican | Drama.","$aArts, Mexican$vDrama.",650,"Library of Congress Subject Headings",
" Arts.","$aArts.",650,"Library of Congress Subject Headings",
" Arts | Censorship","$aArts$xCensorship",650,"Library of Congress Subject Headings",
" Arts | Censorship | United States.","$aArts$xCensorship$zUnited States.",650,"Library of Congress Subject Headings",
" Arts | Experimental methods.","$aArts$xExperimental methods.",650,"Library of Congress Subject Headings",
" Arts | Experimental methods | Puerto Rico.","$aArts$xExperimental methods$zPuerto Rico.",650,"Library of Congress Subject Headings",
" Arts | Political aspects | America.","$aArts$xPolitical aspects$zAmerica.",650,"Library of Congress Subject Headings",
" Arts | Political aspects | Peru.","$aArts$xPolitical aspects$zPeru.",650,"Library of Congress Subject Headings",
" Arts | Political aspects | United States | History | 20th century | Exhibitions.","$aArts$xPolitical aspects$zUnited States$xHistory$y20th century$vExhibitions.",650,"Library of Congress Subject Headings","HI2020_113_01"
" Arts | Study and teaching.","$aArts$xStudy and teaching.",650,"Library of Congress Subject Headings",
" Arts | Study and teaching | Congresses.","$aArts$xStudy and teaching$vCongresses.",650,"Library of Congress Subject Headings",
" Arts | America | Political aspects.","$aArts$zAmerica$xPolitical aspects.",650,"Library of Congress Subject Headings",
" Arts | Chile.","$aArts$zChile.",650,"Library of Congress Subject Headings",
" Arts | Colombia.","$aArts$zColombia.",650,"Library of Congress Subject Headings",
" Arts | Mexico.","$aArts$zMexico.",650,"Library of Congress Subject Headings",
" Arts | New York (N.Y.) | Bronx.","$aArts$zNew York (N.Y.)$zBronx.",650,"Library of Congress Subject Headings",
" Asian American art | Political aspects.","$aAsian American art$xPolitical aspects.",650,"Library of Congress Subject Headings",
" Asian American women artists.","$aAsian American women artists.",650,"Library of Congress Subject Headings",
" Asian American women | Identity.","$aAsian American women$xIdentity.",650,"Library of Congress Subject Headings",
" Asian American women | Social conditions.","$aAsian American women$xSocial conditions.",650,"Library of Congress Subject Headings",
" Asian Americans | Ethnic identity.","$aAsian Americans$xEthnic identity.",650,"Library of Congress Subject Headings",
" Associations, institutions, etc. | Political aspects.","$aAssociations, institutions, etc.$xPolitical aspects.",650,"Library of Congress Subject Headings",
" Autobiography | Women authors.","$aAutobiography$xWomen authors.",650,"Library of Congress Subject Headings",
" Autonomy.","$aAutonomy.",650,"Library of Congress Subject Headings",
" Avant-garde (Aesthetics) | Europe | History | 20th century | Themes, motives.","$aAvant-garde (Aesthetics)$zEurope$xHistory$y20th century$xThemes, motives.",650,"Library of Congress Subject Headings",
" Avant-garde (Aesthetics) | United States.","$aAvant-garde (Aesthetics)$zUnited States.",650,"Library of Congress Subject Headings",
" Avant-garde (Music)","$aAvant-garde (Music)",650,"Library of Congress Subject Headings",
" Avant-garde (Music) | United States.","$aAvant-garde (Music)$zUnited States.",650,"Library of Congress Subject Headings",
" Aztec mythology.","$aAztec mythology.",650,"Library of Congress Subject Headings",
" Aztecs.","$aAztecs.",650,"Library of Congress Subject Headings",
" Aztecs | Religion.","$aAztecs$xReligion.",650,"Library of Congress Subject Headings",
" Baba Yaga (Legendary character)","$aBaba Yaga (Legendary character)",650,"Library of Congress Subject Headings",
" Bacchantes | Drama.","$aBacchantes$vDrama.",650,"Library of Congress Subject Headings",
" Balance of power.","$aBalance of power.",650,"Library of Congress Subject Headings","HI2019_121_01,HI2020_148_01"
" Baseball players | United States.","$aBaseball players$zUnited States.",650,"Library of Congress Subject Headings",
" Baseball.","$aBaseball.",650,"Library of Congress Subject Headings",
" Baseball | United States.","$aBaseball$zUnited States.",650,"Library of Congress Subject Headings",
" Beatboxing.","$aBeatboxing.",650,"Library of Congress Subject Headings",
" Beauty and the beast (Tale) | Parodies, imitations, etc.","$aBeauty and the beast (Tale)$vParodies, imitations, etc.",650,"Library of Congress Subject Headings",
" Beauty culture | Social aspects.","$aBeauty culture$xSocial aspects.",650,"Library of Congress Subject Headings","HI2019_075_01"
" Bilingual communication in organizations.","$aBilingual communication in organizations.",650,"Library of Congress Subject Headings",
" Bilingualism | Political aspects.","$aBilingualism$xPolitical aspects.",650,"Library of Congress Subject Headings",
" Bilingualism | Social aspects.","$aBilingualism$xSocial aspects.",650,"Library of Congress Subject Headings",
" Biopolitics | Drama.","$aBiopolitics$vDrama.",650,"Library of Congress Subject Headings",
" Birth control.","$aBirth control.",650,"Library of Congress Subject Headings",
" Blacks | Race identity","$aBlacks$xRace identity",650,"Library of Congress Subject Headings","HI2019_053_01,HI2019_133_01,HI2020_005_01"
" Blacks | Race identity | United States.","$aBlacks$xRace identity$zUnited States.",650,"Library of Congress Subject Headings",
" Blacks | Colombia.","$aBlacks$zColombia.",650,"Library of Congress Subject Headings",
" Blaxploition films.","$aBlaxploition films.",650,"Library of Congress Subject Headings",
" Blind businesspeople | Political aspects.","$aBlind businesspeople$xPolitical aspects.",650,"Library of Congress Subject Headings",
" Blindfolds.","$aBlindfolds.",650,"Library of Congress Subject Headings",
" Body art.","$aBody art.",650,"Library of Congress Subject Headings",
" Body image.","$aBody image.",650,"Library of Congress Subject Headings",
" Body language | Drama.","$aBody language$vDrama.",650,"Library of Congress Subject Headings",
" Body painting.","$aBody painting.",650,"Library of Congress Subject Headings",
" Body painting | Political aspects.","$aBody painting$xPolitical aspects.",650,"Library of Congress Subject Headings",
" Boleros (Music)","$aBoleros (Music)",650,"Library of Congress Subject Headings",
" Bondage (Sexual behavior)","$aBondage (Sexual behavior)",650,"Library of Congress Subject Headings",
" Border crossing.","$aBorder crossing.",650,"Library of Congress Subject Headings","HI2019_072_01,HI2020_006_01,HI2020_034_01,HI2020_039_01"
" Border crossing | California | San Diego.","$aBorder crossing$zCalifornia$zSan Diego.",650,"Library of Congress Subject Headings",
" Border crossing | Mexico.","$aBorder crossing$zMexico.",650,"Library of Congress Subject Headings","HI2020_031_01"
" Border crossing | Mexico | Drama.","$aBorder crossing$zMexico$vDrama.",650,"Library of Congress Subject Headings",
" Border crossing | Mexico | Tijuana (Baja California).","$aBorder crossing$zMexico$zTijuana (Baja California).",650,"Library of Congress Subject Headings",
" Border crossing | United States.","$aBorder crossing$zUnited States.",650,"Library of Congress Subject Headings",
" Border crossing | United States | Drama.","$aBorder crossing$zUnited States$vDrama.",650,"Library of Congress Subject Headings",
" Border security | United States.","$aBorder security$zUnited States.",650,"Library of Congress Subject Headings","HI2020_066_01"
" Borderlands | Mexico.","$aBorderlands$zMexico.",650,"Library of Congress Subject Headings",
" Borderlands | United States.","$aBorderlands$zUnited States.",650,"Library of Congress Subject Headings",
" Brazilians | Games | Political aspects.","$aBrazilians$xGames$xPolitical aspects.",650,"Library of Congress Subject Headings",
" Break dancing.","$aBreak dancing.",650,"Library of Congress Subject Headings",
" Brigands and robbers | California | 19th century | Drama.","$aBrigands and robbers$zCalifornia$y19th century$vDrama.",650,"Library of Congress Subject Headings",
" Broadcast journalism | Parodies, imitations, etc.","$aBroadcast journalism$vParodies, imitations, etc.",650,"Library of Congress Subject Headings",
" Bullying.","$aBullying.",650,"Library of Congress Subject Headings",
" Caboclos (Brazilian people)","$aCaboclos (Brazilian people)",650,"Library of Congress Subject Headings",
" Canadian literature | Indian authors.","$aCanadian literature$xIndian authors.",650,"Library of Congress Subject Headings",
" Cannibalism | Brazil | Drama.","$aCannibalism$zBrazil$vDrama.",650,"Library of Congress Subject Headings",
" Capital punishment.","$aCapital punishment.",650,"Library of Congress Subject Headings",
" Capitalism.","$aCapitalism.",650,"Library of Congress Subject Headings","HI2019_075_01,HI2019_093_01,HI2019_107_01,HI2019_127_01,HI2019_135_01,HI2019_137_01,HI2020_137_01,HI2020_148_01"
" Capitalism | Brazil.","$aCapitalism$zBrazil.",650,"Library of Congress Subject Headings","HI2020_141_01"
" Capitalism | United States.","$aCapitalism$zUnited States.",650,"Library of Congress Subject Headings","HI2019_100_01,HI2019_152_01,HI2020_115_01"
" Cayapo Indians | Music.","$aCayapo Indians$vMusic.",650,"Library of Congress Subject Headings",
" Cayapo Indians | Brazil.","$aCayapo Indians$zBrazil.",650,"Library of Congress Subject Headings",
" Censorship.","$aCensorship.",650,"Library of Congress Subject Headings",
" Chemicals | Physiological effect.","$aChemicals$xPhysiological effect.",650,"Library of Congress Subject Headings",
" Cheyenne Indians.","$aCheyenne Indians.",650,"Library of Congress Subject Headings",
" Chicano movement | Drama.","$aChicano movement$vDrama.",650,"Library of Congress Subject Headings",
" Child development.","$aChild development.",650,"Library of Congress Subject Headings",
" Child welfare | United States.","$aChild welfare$zUnited States.",650,"Library of Congress Subject Headings",
" Children and violence.","$aChildren and violence.",650,"Library of Congress Subject Headings","HI2020_002_01"
" Children of immigrants | Education | United States.","$aChildren of immigrants$xEducation$zUnited States.",650,"Library of Congress Subject Headings",
" Children's literature, American.","$aChildren's literature, American.",650,"Library of Congress Subject Headings",
" Children's stories, American.","$aChildren's stories, American.",650,"Library of Congress Subject Headings",
" Children's theater.","$aChildren's theater.",650,"Library of Congress Subject Headings",
" Children | Effects | Mass media.","$aChildren$xEffects$xMass media.",650,"Library of Congress Subject Headings",
" Choreographers | Cuba | Interviews.","$aChoreographers$zCuba$vInterviews.",650,"Library of Congress Subject Headings",
" Choreographers | Peru | Interviews.","$aChoreographers$zPeru$vInterviews.",650,"Library of Congress Subject Headings",
" Choreographers | Puerto Rico.","$aChoreographers$zPuerto Rico.",650,"Library of Congress Subject Headings",
" Choreographers | United States.","$aChoreographers$zUnited States.",650,"Library of Congress Subject Headings",
" Choreographic collaboration.","$aChoreographic collaboration.",650,"Library of Congress Subject Headings",
" Christian conservatism | United States.","$aChristian conservatism$zUnited States.",650,"Library of Congress Subject Headings",
" Christianity and culture.","$aChristianity and culture.",650,"Library of Congress Subject Headings",
" Christianity.","$aChristianity.",650,"Library of Congress Subject Headings",
" Christmas plays, Mexican.","$aChristmas plays, Mexican.",650,"Library of Congress Subject Headings",
" Circus performers | Brazil.","$aCircus performers$zBrazil.",650,"Library of Congress Subject Headings",
" Circus | Brazil | History.","$aCircus$zBrazil$xHistory.",650,"Library of Congress Subject Headings",
" Circus | New York (State) | New York.","$aCircus$zNew York (State)$zNew York.",650,"Library of Congress Subject Headings",
" City and town life | New York (State) | New York | Drama.","$aCity and town life$zNew York (State)$zNew York$vDrama.",650,"Library of Congress Subject Headings",
" City planning | New York (State) | New York.","$aCity planning$zNew York (State)$zNew York.",650,"Library of Congress Subject Headings",
" City planning | United States.","$aCity planning$zUnited States.",650,"Library of Congress Subject Headings",
" Civic improvement | Colombia | Bogotá.","$aCivic improvement$zColombia$zBogotá.",650,"Library of Congress Subject Headings",
" Civic leaders | Colombia | Bogotá.","$aCivic leaders$zColombia$zBogotá.",650,"Library of Congress Subject Headings",
" Civics, Colombian.","$aCivics, Colombian.",650,"Library of Congress Subject Headings",
" Civil disobedience.","$aCivil disobedience.",650,"Library of Congress Subject Headings","HI2020_103_01"
" Civil disobedience | Brazil.","$aCivil disobedience$zBrazil.",650,"Library of Congress Subject Headings",
" Civil disobedience | Mexico.","$aCivil disobedience$zMexico.",650,"Library of Congress Subject Headings",
" Civil rights movements.","$aCivil rights movements.",650,"Library of Congress Subject Headings",
" Civil rights movements | Drama.","$aCivil rights movements$vDrama.",650,"Library of Congress Subject Headings",
" Civil rights movements | Chile.","$aCivil rights movements$zChile.",650,"Library of Congress Subject Headings",
" Civil rights.","$aCivil rights.",650,"Library of Congress Subject Headings",
" Civil rights | Argentina.","$aCivil rights$zArgentina.",650,"Library of Congress Subject Headings",
" Civil rights | Chile.","$aCivil rights$zChile.",650,"Library of Congress Subject Headings",
" Civil society.","$aCivil society.",650,"Library of Congress Subject Headings",
" Civil society | Peru.","$aCivil society$zPeru.",650,"Library of Congress Subject Headings",
" Civil war | Colombia.","$aCivil war$zColombia.",650,"Library of Congress Subject Headings",
" Civil-military relations.","$aCivil-military relations.",650,"Library of Congress Subject Headings",
" Civil-military relations | Puerto Rico | Vieques Island | Drama.","$aCivil-military relations$zPuerto Rico$zVieques Island$vDrama.",650,"Library of Congress Subject Headings",
" Closeted gays.","$aCloseted gays.",650,"Library of Congress Subject Headings",
" Clowns | Brazil.","$aClowns$zBrazil.",650,"Library of Congress Subject Headings",
" Coffee plantation workers | Latin America.","$aCoffee plantation workers$zLatin America.",650,"Library of Congress Subject Headings",
" Collective memory in art.","$aCollective memory in art.",650,"Library of Congress Subject Headings","HI2020_041_01,HI2020_091_01"
" Collective memory.","$aCollective memory.",650,"Library of Congress Subject Headings","HI2019_077_01,HI2019_081_01,HI2019_086_01,HI2019_089_01,HI2019_090_01,HI2019_102_01,HI2019_103_01,HI2019_111_01,HI2019_139_01,HI2019_140_01,HI2019_141_01,HI2019_142_01,HI2019_143_01,HI2019_144_01,HI2019_151_01,HI2020_050_01,HI2020_057_01,HI2020_059_01,HI2020_087_01,HI2020_107_01,HI2020_116_01,HI2020_117_01,HI2020_139_01"
" Collective memory | Latin America.","$aCollective memory$zLatin America.",650,"Library of Congress Subject Headings","HI2019_056_01,HI2019_068_01,HI2019_069_01,HI2019_073_01,HI2019_078_01,HI2019_080_01,HI2019_085_01,HI2019_087_01,HI2019_088_01,HI2019_091_01,HI2019_116_01"
" Collective memory | Puerto Rico.","$aCollective memory$zPuerto Rico.",650,"Library of Congress Subject Headings","HI2019_067_01"
" College theater | Puerto Rico.","$aCollege theater$zPuerto Rico.",650,"Library of Congress Subject Headings",
" Colonies.","$aColonies.",650,"Library of Congress Subject Headings",
" Colonization.","$aColonization.",650,"Library of Congress Subject Headings","HI2019_017_01,HI2019_080_01"
" Colonization | Andes Region.","$aColonization$zAndes Region.",650,"Library of Congress Subject Headings",
" Columbus Quincentenary, 1992-1993.","$aColumbus Quincentenary, 1992-1993.",650,"Library of Congress Subject Headings",
" Coming out (Sexual orientation)","$aComing out (Sexual orientation)",650,"Library of Congress Subject Headings",
" Communication | Political aspects | Drama.","$aCommunication$xPolitical aspects$vDrama.",650,"Library of Congress Subject Headings",
" Communities","$aCommunities",650,"Library of Congress Subject Headings","HI2019_002_01,HI2019_003_01,HI2019_006_01"
" Communities | Mexico.","$aCommunities$zMexico.",650,"Library of Congress Subject Headings",
" Communities | North America.","$aCommunities$zNorth America.",650,"Library of Congress Subject Headings",
" Community arts projects.","$aCommunity arts projects.",650,"Library of Congress Subject Headings","HI2019_006_01,HI2019_007_01"
" Community centers.","$aCommunity centers.",650,"Library of Congress Subject Headings","HI2020_144_01"
" Community life.","$aCommunity life.",650,"Library of Congress Subject Headings","HI2019_001_01,HI2019_082_01,HI2020_144_01"
" Community organization.","$aCommunity organization.",650,"Library of Congress Subject Headings","HI2019_161_01"
" Community organization | Argentina.","$aCommunity organization$zArgentina.",650,"Library of Congress Subject Headings",
" Community organization | California | Los Angeles.","$aCommunity organization$zCalifornia$zLos Angeles.",650,"Library of Congress Subject Headings",
" Community organization | Colombia.","$aCommunity organization$zColombia.",650,"Library of Congress Subject Headings",
" Community organization | United States.","$aCommunity organization$zUnited States.",650,"Library of Congress Subject Headings",
" Community power.","$aCommunity power.",650,"Library of Congress Subject Headings","HI2019_052_01,HI2019_055_01,HI2019_121_01,HI2019_157_01,HI2019_159_01,HI2019_162_01,HI2020_003_01,HI2020_068_01,HI2020_085_01,HI2020_102_01,HI2020_119_01,HI2020_121_01,HI2020_122_01,HI2020_125_01,HI2020_129_01,HI2020_144_01"
" Community theater.","$aCommunity theater.",650,"Library of Congress Subject Headings",
" Community theater | Argentina.","$aCommunity theater$zArgentina.",650,"Library of Congress Subject Headings",
" Community theater | California | Los Angeles.","$aCommunity theater$zCalifornia$zLos Angeles.",650,"Library of Congress Subject Headings",
" Community theater | Massachusetts.","$aCommunity theater$zMassachusetts.",650,"Library of Congress Subject Headings",
" Community theater | Mexico.","$aCommunity theater$zMexico.",650,"Library of Congress Subject Headings",
" Community theater | New York (State) | New York.","$aCommunity theater$zNew York (State)$zNew York.",650,"Library of Congress Subject Headings",
" Composition (Music)","$aComposition (Music)",650,"Library of Congress Subject Headings",
" Computer software | Development.","$aComputer software$xDevelopment.",650,"Library of Congress Subject Headings",
" Concrete poetry | Exhibitions.","$aConcrete poetry$vExhibitions.",650,"Library of Congress Subject Headings",
" Concrete poetry | Themes, motives.","$aConcrete poetry$xThemes, motives.",650,"Library of Congress Subject Headings",
" Confession.","$aConfession.",650,"Library of Congress Subject Headings",
" Conflict (Psychology) | Drama.","$aConflict (Psychology)$vDrama.",650,"Library of Congress Subject Headings",
" Conquerors.","$aConquerors.",650,"Library of Congress Subject Headings",
" Conservation of natural resources | Argentina | Citizen participation.","$aConservation of natural resources$zArgentina$xCitizen participation.",650,"Library of Congress Subject Headings",
" Conservatism | United States.","$aConservatism$zUnited States.",650,"Library of Congress Subject Headings",
" Consumption (Economics)","$aConsumption (Economics)",650,"Library of Congress Subject Headings","HI2019_032_01,HI2019_097_01,HI2019_156_01,HI2020_136_01,HI2020_137_01"
" Contested elections | Mexico.","$aContested elections$zMexico.",650,"Library of Congress Subject Headings",
" Control (Psychology)","$aControl (Psychology)",650,"Library of Congress Subject Headings",
" Cooking | Health aspects.","$aCooking$xHealth aspects.",650,"Library of Congress Subject Headings",
" Corn | Genetic engineering | Mexico.","$aCorn$xGenetic engineering$zMexico.",650,"Library of Congress Subject Headings",
" Corn | Genetic engineering | Mexico | Drama.","$aCorn$xGenetic engineering$zMexico$vDrama.",650,"Library of Congress Subject Headings",
" Corn | Political aspects | Mexico.","$aCorn$xPolitical aspects$zMexico.",650,"Library of Congress Subject Headings",
" Corn | Mexico.","$aCorn$zMexico.",650,"Library of Congress Subject Headings",
" Corporate culture.","$aCorporate culture.",650,"Library of Congress Subject Headings",
" Corridos.","$aCorridos.",650,"Library of Congress Subject Headings",
" Corruption.","$aCorruption.",650,"Library of Congress Subject Headings","HI2019_100_01,HI2020_058_01,HI2020_060_01,HI2020_061_01,HI2020_062_01,HI2020_067_01,HI2020_068_01,HI2020_075_01,HI2020_081_01,HI2020_086_01,HI2020_094_01,HI2020_095_01,HI2020_099_01,HI2020_100_01,HI2020_110_01"
" Couples.","$aCouples.",650,"Library of Congress Subject Headings",
" Cowboys | West (U.S.)","$aCowboys$zWest (U.S.)",650,"Library of Congress Subject Headings",
" Coyote (Legendary character)","$aCoyote (Legendary character)",650,"Library of Congress Subject Headings",
" Creation (Literary, artistic, etc.)","$aCreation (Literary, artistic, etc.)",650,"Library of Congress Subject Headings",
" Creation (Literary, artistic, etc.) | Social aspects.","$aCreation (Literary, artistic, etc.)$xSocial aspects.",650,"Library of Congress Subject Headings",
" Creative teaching | Puerto Rico.","$aCreative teaching$zPuerto Rico.",650,"Library of Congress Subject Headings",
" Cubans | Race identity.","$aCubans$xRace identity.",650,"Library of Congress Subject Headings",
" Cubans | Social life and customs.","$aCubans$xSocial life and customs.",650,"Library of Congress Subject Headings",
" Cultural awareness.","$aCultural awareness.",650,"Library of Congress Subject Headings",
" Cultural pluralism.","$aCultural pluralism.",650,"Library of Congress Subject Headings","HI2020_135_01"
" Cultural pluralism | Mexican-American Border Region.","$aCultural pluralism$zMexican-American Border Region.",650,"Library of Congress Subject Headings","HI2019_064_01"
" Cultural pluralism | Peru.","$aCultural pluralism$zPeru.",650,"Library of Congress Subject Headings",
" Cultural property | Protection.","$aCultural property$xProtection.",650,"Library of Congress Subject Headings",
" Cultural property | Protection | Brazil.","$aCultural property$xProtection$zBrazil.",650,"Library of Congress Subject Headings",
" Cultural property | Protection | Hawaii.","$aCultural property$xProtection$zHawaii.",650,"Library of Congress Subject Headings",
" Cultural property | Argentina.","$aCultural property$zArgentina.",650,"Library of Congress Subject Headings",
" Cultural property | Brazil.","$aCultural property$zBrazil.",650,"Library of Congress Subject Headings",
" Cultural property | Hawaii.","$aCultural property$zHawaii.",650,"Library of Congress Subject Headings",
" Cultural property | Latin America.","$aCultural property$zLatin America.",650,"Library of Congress Subject Headings",
" Cultural property | Peru.","$aCultural property$zPeru.",650,"Library of Congress Subject Headings",
" Cultural relations.","$aCultural relations.",650,"Library of Congress Subject Headings",
" Culture conflict.","$aCulture conflict.",650,"Library of Congress Subject Headings","HI2020_128_01"
" Culture conflict | United States.","$aCulture conflict$zUnited States.",650,"Library of Congress Subject Headings",
" Dance criticism.","$aDance criticism.",650,"Library of Congress Subject Headings",
" Dance, Aboriginal Australian.","$aDance, Aboriginal Australian.",650,"Library of Congress Subject Headings",
" Dance.","$aDance.",650,"Library of Congress Subject Headings",
" Dance | Political aspects.","$aDance$xPolitical aspects.",650,"Library of Congress Subject Headings","HI2019_053_01,HI2019_133_01"
" Dance | Political aspects | Puerto Rico.","$aDance$xPolitical aspects$zPuerto Rico.",650,"Library of Congress Subject Headings",
" Dance | Social aspects.","$aDance$xSocial aspects.",650,"Library of Congress Subject Headings","HI2019_083_01,HI2019_136_01"
" Dance | Study and teaching.","$aDance$xStudy and teaching.",650,"Library of Congress Subject Headings",
" Dance | Alaska.","$aDance$zAlaska.",650,"Library of Congress Subject Headings",
" Dance | Australia.","$aDance$zAustralia.",650,"Library of Congress Subject Headings",
" Dance | Cuba.","$aDance$zCuba.",650,"Library of Congress Subject Headings",
" Dance | Latin America | Humor.","$aDance$zLatin America$xHumor.",650,"Library of Congress Subject Headings",
" Dance | New York (State) | New York.","$aDance$zNew York (State)$zNew York.",650,"Library of Congress Subject Headings",
" Dance | Peru.","$aDance$zPeru.",650,"Library of Congress Subject Headings","HI2019_114_01"
" Dance | Puerto Rico.","$aDance$zPuerto Rico.",650,"Library of Congress Subject Headings",
" Dancers | Cuba | Interviews.","$aDancers$zCuba$vInterviews.",650,"Library of Congress Subject Headings",
" Day laborers | United States | Social conditions.","$aDay laborers$zUnited States$xSocial conditions.",650,"Library of Congress Subject Headings",
" Death | Drama.","$aDeath$vDrama.",650,"Library of Congress Subject Headings",
" Death | Symbolic aspects.","$aDeath$xSymbolic aspects.",650,"Library of Congress Subject Headings","HI2019_112_01,HI2019_139_01"
" Decolonization.","$aDecolonization.",650,"Library of Congress Subject Headings","HI2019_062_01,HI2019_097_01,HI2019_135_01"
" Decolonization | Andes Region.","$aDecolonization$zAndes Region.",650,"Library of Congress Subject Headings",
" Democracy | United States.","$aDemocracy$zUnited States.",650,"Library of Congress Subject Headings",
" Demonstrations | California | San Francisco.","$aDemonstrations$zCalifornia$zSan Francisco.",650,"Library of Congress Subject Headings",
" Demonstrations | Peru.","$aDemonstrations$zPeru.",650,"Library of Congress Subject Headings",
" Demonstrations | Puerto Rico.","$aDemonstrations$zPuerto Rico.",650,"Library of Congress Subject Headings",
" Depression in adolescence.","$aDepression in adolescence.",650,"Library of Congress Subject Headings",
" Desire.","$aDesire.",650,"Library of Congress Subject Headings","HI2019_001_01,HI2019_004_01,HI2019_012_01,HI2019_140_01,HI2019_141_01,HI2019_142_01,HI2020_143_01,HI2020_150_01"
" Desire | Drama.","$aDesire$vDrama.",650,"Library of Congress Subject Headings",
" Despotism.","$aDespotism.",650,"Library of Congress Subject Headings",
" Dictators | Chile.","$aDictators$zChile.",650,"Library of Congress Subject Headings","HI2019_085_01,HI2019_140_01"
" Dictators | Chile | History | 20th century.","$aDictators$zChile$xHistory$y20th century.",650,"Library of Congress Subject Headings",
" Dictatorship | Argentina.","$aDictatorship$zArgentina.",650,"Library of Congress Subject Headings",
" Dictatorship | Brazil.","$aDictatorship$zBrazil.",650,"Library of Congress Subject Headings",
" Dictatorship | Chile.","$aDictatorship$zChile.",650,"Library of Congress Subject Headings","HI2019_054_01,HI2019_091_01,HI2019_100_01,HI2019_134_01,HI2019_139_01,HI2019_141_01,HI2019_142_01"
" Dictatorship | Chile | History | 20th century.","$aDictatorship$zChile$xHistory$y20th century.",650,"Library of Congress Subject Headings","HI2019_087_01,HI2019_088_01,HI2019_090_01,HI2019_096_01,HI2019_130_01,HI2019_138_01"
" Dictatorship | Latin America.","$aDictatorship$zLatin America.",650,"Library of Congress Subject Headings","HI2019_034_01,HI2019_035_01,HI2019_045_01"
" Dietary supplements | Fiction.","$aDietary supplements$vFiction.",650,"Library of Congress Subject Headings",
" Digital humanities | Political aspects.","$aDigital humanities$xPolitical aspects.",650,"Library of Congress Subject Headings",
" Disappeared persons.","$aDisappeared persons.",650,"Library of Congress Subject Headings","HI2019_087_01,HI2020_031_01,HI2020_032_01,HI2020_033_01,HI2020_034_01,HI2020_047_01,HI2020_048_01,HI2020_049_01,HI2020_056_01,HI2020_057_01,HI2020_058_01,HI2020_060_01,HI2020_061_01,HI2020_062_01,HI2020_066_01,HI2020_073_01,HI2020_081_01,HI2020_084_01,HI2020_085_01,HI2020_088_01,HI2020_089_01,HI2020_091_01,HI2020_107_01,HI2020_109_01,HI2020_110_01"
" Disappeared persons | Argentina.","$aDisappeared persons$zArgentina.",650,"Library of Congress Subject Headings","HI2019_068_01"
" Disappeared persons | Brazil.","$aDisappeared persons$zBrazil.",650,"Library of Congress Subject Headings",
" Disappeared persons | Colombia.","$aDisappeared persons$zColombia.",650,"Library of Congress Subject Headings",
" Disappeared persons | Latin America.","$aDisappeared persons$zLatin America.",650,"Library of Congress Subject Headings","HI2019_054_01,HI2019_085_01,HI2019_088_01,HI2019_134_01"
" Disappeared persons | Peru.","$aDisappeared persons$zPeru.",650,"Library of Congress Subject Headings",
" Discrimination in employment.","$aDiscrimination in employment.",650,"Library of Congress Subject Headings","HI2020_072_01"
" Discrimination.","$aDiscrimination.",650,"Library of Congress Subject Headings",
" Dissenters.","$aDissenters.",650,"Library of Congress Subject Headings",
" Dolls.","$aDolls.",650,"Library of Congress Subject Headings",
" Dolls | Symbolic aspects.","$aDolls$xSymbolic aspects.",650,"Library of Congress Subject Headings",
" Dominance (Psychology)","$aDominance (Psychology)",650,"Library of Congress Subject Headings",
" Don Juan (Legendary character)","$aDon Juan (Legendary character)",650,"Library of Congress Subject Headings",
" Don Quixote (Fictitious character)","$aDon Quixote (Fictitious character)",650,"Library of Congress Subject Headings",
" Don Quixote (Fictitious character) | Drama.","$aDon Quixote (Fictitious character)$vDrama.",650,"Library of Congress Subject Headings",
" Drama festivals | Brazil | Rio de Janeiro | History.","$aDrama festivals$zBrazil$zRio de Janeiro$xHistory.",650,"Library of Congress Subject Headings",
" Dramatists, Mexican | Interviews.","$aDramatists, Mexican$vInterviews.",650,"Library of Congress Subject Headings",
" Dramatists | Interviews.","$aDramatists$vInterviews.",650,"Library of Congress Subject Headings",
" Dreams.","$aDreams.",650,"Library of Congress Subject Headings",
" Drug abuse.","$aDrug abuse.",650,"Library of Congress Subject Headings",
" Drug abuse | Social aspects.","$aDrug abuse$xSocial aspects.",650,"Library of Congress Subject Headings",
" Drug control | Colombia.","$aDrug control$zColombia.",650,"Library of Congress Subject Headings",
" Drug control | Mexico.","$aDrug control$zMexico.",650,"Library of Congress Subject Headings",
" Drug development | Fiction.","$aDrug development$vFiction.",650,"Library of Congress Subject Headings",
" Drug traffic | Political aspects.","$aDrug traffic$xPolitical aspects.",650,"Library of Congress Subject Headings","HI2020_063_01,HI2020_067_01"
" Drug traffic | Social aspects | Mexican-American Border Region.","$aDrug traffic$xSocial aspects$zMexican-American Border Region.",650,"Library of Congress Subject Headings",
" East Indian American women | Social conditions.","$aEast Indian American women$xSocial conditions.",650,"Library of Congress Subject Headings",
" East Indian Americans | Social life and customs.","$aEast Indian Americans$xSocial life and customs.",650,"Library of Congress Subject Headings",
" Ecuadorians | Food.","$aEcuadorians$xFood.",650,"Library of Congress Subject Headings",
" Education | Standards | United States.","$aEducation$xStandards$zUnited States.",650,"Library of Congress Subject Headings",
" Ego (Psychology)","$aEgo (Psychology)",650,"Library of Congress Subject Headings",
" Ejidos | Law and legislation | Mexico.","$aEjidos$xLaw and legislation$zMexico.",650,"Library of Congress Subject Headings",
